39;de_Bagaceira;Bagaceira;961290;913200;755350;661270;424620;576098;705912;828000;698200;938090;0;0;0;0;0;299500;156100;325600;29000;52000;55000;15000;10000;0;0;0;0;0;0;0;12700;10350;0;26800;66082;32050;24250;48500;8500;6500;0;0;0;0;0;1350;1000;900;2100;10495;0;12060
40;de_Licor de bagaceira;Licor de bagaceira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1507;5800;0
41;de_Vinagre;Vinagre;0;21500;8200;0;35300;0;288000;0;0;0;0;0;0;0;0;104707;0;0;0;0;0;0;45000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5817;0;0;0;53776;25800;5000;25319;25367;76096;10000;7500
42;de_Borra líquida;Borra líquida;3847673;3565644;3015037;3559922;5136979;4624839;3393173;0;0;0;0;3767852;0;0;0;5095798;6357648;5142446;1953488;2426804;1282381;1649130;1400200;0;0;0;0;0;0;0;9626928;8216162;8541861;3126172;1044490;526016;57333;2095873;1679775;0;64304;0;0;63111;50954;48833;24975;0;255100;901431;509378;116450
43;de_Borra seca;Borra seca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149981;0;0;78397;142850;120230;82367;0;70480;25996;167587;16789
44;de_Vinho Composto;Vinho Composto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;0;0;0;0;0;0;160000
45;de_Pisco;Pisco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3372;1000;0
46;de_Vinho orgânico;Vinho orgânico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;254000;171147;219100;15000;85000;0;137000;0;0;4745442;2454500;351426;4997317;3265781;8592228;0;0;6705487;7584380;0;0;22933;307410;15000;0;0;5600;0;0;0;0;0;0;0;0;18700;93884
47;de_Espumante orgânico;Espumante orgânico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2412
48;de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;3000
49;de_Vinho acidificado ;Vinho acidificado ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65000;0
50;de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543510
51;de_Outros derivados;Outros derivados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322
